Benefits,Company,Education,Industry,Industry_label,Job_function,Job_title,Level,Location,Posting_date,Salary,Work_exp
"['', 'Bank Holiday', '', 'Double Pay', '', 'Medical Insurance']",Public Bank (Hong Kong) Limited,Bachelor,All Banking / Finance / Securities,Banking / Finance / Securities / Investments,"['Banking / Finance / Securities (Corporate Banking)', 'Banking / Finance / Securities (Retail Banking)', 'Banking / Finance / Securities (Credit Analysis / Approval)']",Assistant Manager - Special Projects Unit (Credit Department) (Ref: RO-AMSPU),Senior,Hong Kong,Posting Date: 2020-09-05,--,8
"['', 'Bank Holiday', '', 'Double Pay', '', 'Medical Insurance']",Public Bank (Hong Kong) Limited,Bachelor,All Banking / Finance / Securities,Banking / Finance / Securities / Investments,"['Banking / Finance / Securities (Corporate Banking)', 'Banking / Finance / Securities (Retail Banking)', 'Banking / Finance / Securities (Credit Analysis / Approval)']",Senior Credit Analyst (Ref: RO-SCA),Middle,Hong Kong,Posting Date: 2020-09-05,--,5
"['', 'Bank Holiday', '', 'Double Pay', '', 'Medical Insurance']",Public Bank (Hong Kong) Limited,F.5 / HKCEE,All Banking / Finance / Securities,Banking / Finance / Securities / Investments,"['Banking / Finance / Securities (Retail Banking)', 'Banking / Finance / Securities (Others)', 'Administration / Secretary (Clerical / Admin Staff)']",Clerk - Branch Administration (Ref: RO-SBAC),General,Hong Kong,Posting Date: 2020-09-05,--,1
"['', 'Bank Holiday', '', 'Double Pay', '', 'Medical Insurance']",Public Bank (Hong Kong) Limited,Bachelor,All Banking / Finance / Securities,Banking / Finance / Securities / Investments,"['Banking / Finance / Securities (Others)', 'Banking / Finance / Securities (Compliance / Regulatory)', 'Banking / Finance / Securities (Legal)']",AML Officer (Ref: RO-AMLO),Middle,Hong Kong,Posting Date: 2020-09-05,--,2
"['', 'Bank Holiday', '', 'Double Pay', '', 'Marriage Leave', '', 'Medical Insurance']",Public Bank (Hong Kong) Limited,Diploma,All Banking / Finance / Securities,Banking / Finance / Securities / Investments,"['Administration / Secretary (Clerical / Admin Staff)', 'Banking / Finance / Securities (Others)', 'Building / Architectural (Building / Construction / QS)']",Senior/ Building Services Officer (Ref: RO-SPSO),General,Hong Kong,Posting Date: 2020-09-05,--,3
"['', 'Bank Holiday', '', 'Double Pay', '', 'Five-Day Work', '', 'Medical Insurance']",Public Bank (Hong Kong) Limited,Bachelor,All Banking / Finance / Securities,Banking / Finance / Securities / Investments,"['Marketing / Public Relations (Marketing - General / Support)', 'Marketing / Public Relations (Brand / Product Management)', 'Banking / Finance / Securities (Others)']",Marketing Assistant - Marketing & Product Development (Ref: RO-MPDMA),General,Hong Kong,Posting Date: 2020-09-05,--,1
"['', 'Bank Holiday', '', 'Five-Day Work', '', 'Medical Insurance', '', 'On-the-job training', '', 'Paternity Leave']",800 TeleServices (Hong Kong) Limited,Associate Degree / Higher Diploma,All Banking / Finance / Securities,Consultancy / Professional Service,"['Customer Service (Customer Service)', 'Sales (Customer Service - Supervisor / Officer)', 'Sales (Telesales / Telemarketing / Call Centre)', 'Banking / Finance / Securities (Private Banking)', 'Banking / Finance / Securities (Order Processing & Operation / Settlement)']",Senior Officer / Officer (Virtual Banking),General,Others,Posting Date: 2020-09-04,--,2-3
"['', 'Bank Holiday', '', 'Commission', '', 'Five-Day Work', '', 'Flexible Working Hours', '', 'Medical Insurance', '', 'On-the-job training', '', 'Promotion']",AIA International Limited,Bachelor,All Banking / Finance / Securities,Insurance,"['Banking / Finance / Securities (Financial Services)', 'Insurance (Insurance / Broker)', 'Banking / Finance / Securities (Investment)', 'Others (Others)']",Wealth Management Manager財富管理經理精英招募（年薪可達80萬或以上，歡迎轉行業人士及優秀畢業生）,General,Eastern District / North Point,Posting Date: 2020-09-04,--,--
"['', 'Alternative Retirement Scheme', '', 'Birthday Leave', '', 'Bonus for a recruit / new joiner', '', 'Commission', '', 'Education Allowance', '', 'Family Friendly Policy', '', 'Five-Day Work', '', 'Flexible Working Hours', '', 'Life Insurance', '', 'Medical Insurance', '', 'On-the-job training', '', 'Paternity Leave', '', 'Performance Bonus', '', 'Promotion', '', 'Staff Discount', '', 'Travel Allowance', '', 'Year end bonus']",Sun Life Hong Kong Limited,DSE ,All Banking / Finance / Securities,Insurance,"['Airline / Travel / Tourism (Cabin Crew)', 'Banking / Finance / Securities (Financial Services)', 'Insurance (Insurance / Broker)', 'Hospitality / Hotel (Front Desk / Office)', 'Fresh Graduate (Fresh Graduate)']",MPF Business Officer 強積金業務人員 / Management Trainee 見習理財經理,General,Kowloon City District / Whampoa,Posting Date: 2020-09-04,"$20,000 - $40,000",--
"['', 'Double Pay', '', 'Free Shuttle Bus', '', 'Medical Insurance']",Phoenix Satellite Television Co Ltd,Bachelor,All Banking / Finance / Securities,Media,"['Media (Editorial / Journalism)', 'Banking / Finance / Securities (Others)']",新媒體頭條策劃編輯（財經方向）(兩年合約),Middle,Tai Po District,Posting Date: 2020-09-04,--,3 or above
"['', 'Birthday Leave', '', 'Dental Insurance', '', 'Five-Day Work', '', 'Marriage Leave', '', 'Medical Insurance']",Dorsett Hospitality International Services Limited,Bachelor,All Banking / Finance / Securities,Hotel / Hospitality,"['Banking / Finance / Securities (Analysis)', 'Banking / Finance / Securities (Investment)', 'Banking / Finance / Securities (Financial Services)', 'Banking / Finance / Securities (Others)']",Junior Investment Analyst,General,Central & Western District / Central,Posting Date: 2020-09-04,--,1-2
"['', 'Bank Holiday', '', 'Birthday Leave', '', 'Medical Insurance', '', 'On-the-job training', '', 'Promotion']",匯駿財務有限公司Union Finance (HK) Company Limited,Below F.5,All Banking / Finance / Securities,Banking / Finance / Securities / Investments,"['Banking / Finance / Securities (Loan)', 'Banking / Finance / Securities (Order Processing & Operation / Settlement)', 'Banking / Finance / Securities (Mortgage)', 'Banking / Finance / Securities (Others)', 'Banking / Finance / Securities (Financial Services)']",分行文員 Loan Clerk (分行：旺角 / 灣仔),General,Wanchai District / Wan ChaiYau Tsim Mong District / Mong KokYuen Long District / Yuen Long,Posting Date: 2020-09-04,"$11,000 - $13,000",--
"['', 'Dental Insurance', '', 'Five-Day Work', '', 'Life Insurance', '', 'Medical Insurance', '', 'Performance Bonus']",Everbright Sun Hung Kai Company Limited,Bachelor,All Banking / Finance / Securities,Banking / Finance / Securities / Investments,"['Banking / Finance / Securities (Investment)', 'Banking / Finance / Securities (Others)', 'Human Resources (Training & Development)']","Senior Vice President / Vice President, Sales Training (Investment and Insurance products)",Middle,Kwai Tsing DistrictWanchai District / Causeway Bay,Posting Date: 2020-09-04,--,8
"['', 'Dental Insurance', '', 'Five-Day Work', '', 'Life Insurance', '', 'Medical Insurance', '', 'Performance Bonus']",Everbright Sun Hung Kai Company Limited,Bachelor,All Banking / Finance / Securities,Banking / Finance / Securities / Investments,"['Banking / Finance / Securities (Financial Services)', 'Banking / Finance / Securities (Risk Management)', 'Banking / Finance / Securities (Others)', 'Professional Services (Business Analysis / Data Analysis)']","Senior Associate / Assistant Vice President, Business Management",Middle,Wanchai District / Causeway Bay,Posting Date: 2020-09-04,--,3
"['', 'Dental Insurance', '', 'Five-Day Work', '', 'Life Insurance', '', 'Medical Insurance', '', 'Performance Bonus']",Everbright Sun Hung Kai Company Limited,Bachelor,All Banking / Finance / Securities,Banking / Finance / Securities / Investments,"['Banking / Finance / Securities (Financial Services)', 'Banking / Finance / Securities (Equities / Capital Market / Treasury)', 'Banking / Finance / Securities (Others)']","Assistant Vice President / Vice President, Debt Capital Markets (Origination and Execution)",General,Wanchai District / Causeway Bay,Posting Date: 2020-09-04,--,3
,Everbright Sun Hung Kai Company Limited,F.7 / HKAL,All Banking / Finance / Securities,Banking / Finance / Securities / Investments,"['Banking / Finance / Securities (Investment)', 'Banking / Finance / Securities (Retail Banking)', 'Banking / Finance / Securities (Financial Services)']",Investment Consultants / Financial Planners / Relationship Managers Wealth Management & Brokerage,General,Wanchai District / Causeway Bay,Posting Date: 2020-09-04,--,--
"['', 'Five-Day Work', '', 'Life Insurance', '', 'Medical Insurance']",Everbright Sun Hung Kai Company Limited,F.5 / HKCEE,All Banking / Finance / Securities,Banking / Finance / Securities / Investments,"['Banking / Finance / Securities (Financial Services)', 'Sales (Business Development)', 'Sales (Channel / Distribution)']","Investment Consultant, Global Payments (EBSHK Forex)",General,Wanchai District / Causeway Bay,Posting Date: 2020-09-04,--,--
,Everbright Sun Hung Kai Company Limited ,Bachelor,All Banking / Finance / Securities,Banking / Finance / Securities / Investments,"['Banking / Finance / Securities (Investment)', 'Banking / Finance / Securities (Financial Services)', 'Sales (Business Development)']",Sales Team Heads (Wealth Management & Brokerage),Senior,Wanchai District / Causeway Bay,Posting Date: 2020-09-04,--,--
"['', 'Dental Insurance', '', 'Five-Day Work', '', 'Life Insurance', '', 'Medical Insurance', '', 'Performance Bonus']",Everbright Sun Hung Kai Company Limited ,Bachelor,All Banking / Finance / Securities,Banking / Finance / Securities / Investments,"['Banking / Finance / Securities (Financial Services)', 'Banking / Finance / Securities (Credit Analysis / Approval)', 'Banking / Finance / Securities (Risk Management)']","Vice President, Credit",Middle,Wanchai District / Causeway Bay,Posting Date: 2020-09-04,--,10
"['', 'Dental Insurance', '', 'Five-Day Work', '', 'Life Insurance', '', 'Medical Insurance', '', 'Performance Bonus']",Everbright Sun Hung Kai Company Limited,Bachelor,All Banking / Finance / Securities,Banking / Finance / Securities / Investments,"['Accounting / Auditing (Accountant)', 'Accounting / Auditing (Financial Analyst)', 'Banking / Finance / Securities (Analysis)', 'Accounting / Auditing (Others)']","Associate, Finance",General,Wanchai District / Causeway Bay,Posting Date: 2020-09-04,--,3 or above
"['', 'Dental Insurance', '', 'Five-Day Work', '', 'Life Insurance', '', 'Medical Insurance', '', 'Performance Bonus']",Everbright Sun Hung Kai Company Limited,Diploma,All Banking / Finance / Securities,Banking / Finance / Securities / Investments,"['Banking / Finance / Securities (Private Banking)', 'Banking / Finance / Securities (Investment)', 'Banking / Finance / Securities (Financial Services)', 'Banking / Finance / Securities (Others)']","Relationship Manager / Assistant Vice President, House Sales (Wealth Management Products)",Middle,Wanchai District / Causeway Bay,Posting Date: 2020-09-04,--,5
"['', 'Dental Insurance', '', 'Five-Day Work', '', 'Life Insurance', '', 'Medical Insurance', '', 'Performance Bonus']",Everbright Sun Hung Kai Company Limited,Bachelor,All Banking / Finance / Securities,Banking / Finance / Securities / Investments,"['Banking / Finance / Securities (Financial Services)', 'Banking / Finance / Securities (Order Processing & Operation / Settlement)', 'Banking / Finance / Securities (Others)']","Sales Assistant, Wealth Management",General,Wanchai District / Causeway Bay,Posting Date: 2020-09-04,--,1
"['', 'Dental Insurance', '', 'Five-Day Work', '', 'Medical Insurance']",CSC Futures (HK) Limited,Bachelor,All Banking / Finance / Securities,Banking / Finance / Securities / Investments,"['Marketing / Public Relations (Marketing - Direct Marketing)', 'Marketing / Public Relations (Marketing - General / Support)', 'Banking / Finance / Securities (Others)']",OFFICER / ASSISTANT MANAGER– BUSINESS DEVELOPMENT,General,Central & Western District / Sheung Wan,Posting Date: 2020-09-04,--,2
"['', 'Dental Insurance', '', 'Five-Day Work', '', 'Medical Insurance']",CSC Futures (HK) Limited,F.7 / HKAL,All Banking / Finance / Securities,Banking / Finance / Securities / Investments,"['Banking / Finance / Securities (Dealing & Trading)', 'Banking / Finance / Securities (Others)']",Dealer (Futures) (5 days work),General,Central & Western District / Sheung Wan,Posting Date: 2020-09-04,--,1
"['', 'Dental Insurance', '', 'Five-Day Work', '', 'Medical Insurance', '', 'Overtime Pay']",CSC Futures (HK) Limited,Bachelor,All Banking / Finance / Securities,Banking / Finance / Securities / Investments,"['Banking / Finance / Securities (Others)', 'IT (Network & System)', 'IT (Technical / Functional Consulting)']",I.T. Officer (5 days work),General,Central & Western District / Sheung Wan,Posting Date: 2020-09-04,--,1-2
"['', 'Dental Insurance', '', 'Five-Day Work', '', 'Medical Insurance']",CSC Securities (HK) Ltd,Diploma,All Banking / Finance / Securities,Banking / Finance / Securities / Investments,"['Banking / Finance / Securities (Dealing & Trading)', 'Banking / Finance / Securities (Others)', 'Administration / Secretary (Clerical / Admin Staff)', 'Administration / Secretary (Others)']",Administrative Assistant in Brokerage Department (5 days work),General,Central & Western District / Sheung Wan,Posting Date: 2020-09-04,--,1-2
"['', 'Dental Insurance', '', 'Five-Day Work', '', 'Life Insurance', '', 'Medical Insurance', '', 'Performance Bonus']",PeopleLink Services Limited,--,All Banking / Finance / Securities,Information Technology,"['IT (Application - Software)', 'Banking / Finance / Securities (Fund Management)', 'Banking / Finance / Securities (Others)']",Senior Analyst / Application Support (Financial Firm - Front Office) (Perm - Up to 50K),General,Central & Western District / Central,Posting Date: 2020-09-04,--,2-5
"['', 'Bank Holiday', '', 'Birthday Leave', '', 'Medical Insurance', '', 'On-the-job training', '', 'Overtime Pay', '', 'Promotion', '', 'Year end bonus']",I-Access Group Limited,Bachelor,All Banking / Finance / Securities,Banking / Finance / Securities / Investments,"['Customer Service (Customer Service)', 'Sales (Sales Administration)', 'Fresh Graduate (Fresh Graduate)', 'Banking / Finance / Securities (Retail Banking)', 'Administration / Secretary (Clerical / Admin Staff)']",Client Relationship Officer ,General,Shatin District / ShatinWanchai District / Causeway BayYau Tsim Mong DistrictYau Tsim Mong District / Mong Kok,Posting Date: 2020-09-04,--,--
"['', 'Five-Day Work', '', 'Medical Insurance']",I-Access Group Limited,Bachelor,All Banking / Finance / Securities,Banking / Finance / Securities / Investments,"['Banking / Finance / Securities (Investment)', 'Banking / Finance / Securities (Financial Services)', 'Banking / Finance / Securities (Others)', 'Fresh Graduate (Fresh Graduate)']",Trader,General,Yau Tsim Mong District / Yau Ma Tei,Posting Date: 2020-09-04,--,--
"['', 'Double Pay', '', 'Medical Insurance', '', 'Year end bonus']",TECH ONE SERVICES LIMITED,Diploma,All Banking / Finance / Securities,Employment Agency,"['Banking / Finance / Securities (Others)', 'Administration / Secretary (Clerical / Admin Staff)', 'Customer Service (Customer Service)', 'Accounting / Auditing (Others)', 'Hospitality / Hotel (Others)']",Branch Assistant (Diploma or above),General,,Posting Date: 2020-09-04,"$11,000 - $14,500",0 - 10
"['', 'Alternate Saturday', '', 'Bank Holiday', '', 'Birthday Leave', '', 'Education Allowance', '', 'Marriage Leave', '', 'Medical Insurance', '', 'On-the-job training', '', 'Paternity Leave', '', 'Promotion', '', 'Year end bonus']",Ego Finance Limited (及時雨信貸有限公司),F.5 / HKCEE,All Banking / Finance / Securities,Banking / Finance / Securities / Investments,"['Banking / Finance / Securities (Loan)', 'Banking / Finance / Securities (Mortgage)', 'Banking / Finance / Securities (Others)', 'Banking / Finance / Securities (Credit Analysis / Approval)']",Assistant Manager / Manager (Mortgage Department),Senior,Yau Tsim Mong District / Mong Kok,Posting Date: 2020-09-04,--,3
"['', 'Five-Day Work', '', 'Medical Insurance', '', 'On-the-job training', '', 'Overtime Pay']",JAN Financial Press Limited,F.5 / HKCEE,All Banking / Finance / Securities,Printing & Publishing,"['Banking / Finance / Securities (Financial Services)', 'Media (Print Media / Publishing)', 'Manufacturing (Printing)']",DTP Typesetter (5 Days Work),General,,Posting Date: 2020-09-04,--,--
,SIRIUS Partners Limited,--,All Banking / Finance / Securities,Banking / Finance / Securities / Investments,"['Banking / Finance / Securities (Compliance / Regulatory)', 'Banking / Finance / Securities (Equities / Capital Market / Treasury)', 'Banking / Finance / Securities (Financial Services)', 'Banking / Finance / Securities (Corporate Finance)', 'Banking / Finance / Securities (Others)']",Head of M&A Strategy - Index Management,Top,,Posting Date: 2020-09-03,--,15 or above
"['', 'Birthday Leave', '', 'Five-Day Work', '', 'Medical Insurance', '', 'Overtime Pay', '', 'Performance Bonus', '', 'Staff Discount', '', 'Year end bonus']",HOME DENTAL ,Diploma,All Banking / Finance / Securities,Health Care,"['Banking / Finance / Securities (Others)', 'Hospitality / Hotel (Customer Service)', 'Health / Beauty (Others)', 'Hospital / Medical / Pharmaceutical (Others)', 'Marketing / Public Relations (Customer Relationship Management)']",Customer Care Officer 客戶服務主任 (5-day work),Middle,Tsuen Wan DistrictYau Tsim Mong District / Tsim Sha Tsui,Posting Date: 2020-09-03,"$17,000 - $22,000",3-10
"['', 'Bank Holiday', '', 'Commission', '', 'Five-Day Work', '', 'Flexible Working Hours', '', 'Medical Insurance', '', 'On-the-job training', '', 'Promotion']",AIA International Limited,Bachelor,All Banking / Finance / Securities,Insurance,"['Banking / Finance / Securities (Financial Services)', 'Insurance (Insurance / Broker)', 'Banking / Finance / Securities (Investment)', 'Others (Others)']",Wealth Management Manager財富管理經理精英招募（年薪可達80萬或以上，歡迎轉行業人士及優秀畢業生）,General,Eastern District / North Point,Posting Date: 2020-09-03,--,--
"['', 'Five-Day Work']","Arrow Electronics, Inc.",Bachelor,All Banking / Finance / Securities,Engineering / Electrical / Electronics,"['Management (Management)', 'Banking / Finance / Securities (Others)']",Tax Manager,Top,,Posting Date: 2020-09-03,--,6 or above
